Algoritmo,Tamanho,Cenario,Tempo(ns),Tempo(ms),Comparacoes,Atribuicoes
BubbleSort,10,ORDENADO,8300,0,0083,45,0
InsertionSort,10,ORDENADO,5600,0,0056,9,18
SelectionSort,10,ORDENADO,7800,0,0078,45,27
QuickSort,10,ORDENADO,21900,0,0219,25,66
MergeSort,10,ORDENADO,15800,0,0158,19,68
HeapSort,10,ORDENADO,16000,0,0160,41,90
BubbleSort,100,ORDENADO,285100,0,2851,4950,0
InsertionSort,100,ORDENADO,19500,0,0195,99,198
SelectionSort,100,ORDENADO,171100,0,1711,4950,297
QuickSort,100,ORDENADO,131200,0,1312,870,1675
MergeSort,100,ORDENADO,83100,0,0831,356,1344
HeapSort,100,ORDENADO,169900,0,1699,1081,1920
BubbleSort,1000,ORDENADO,6220000,6,2200,499500,0
InsertionSort,1000,ORDENADO,86000,0,0860,999,1998
SelectionSort,1000,ORDENADO,4586700,4,5867,499500,2997
QuickSort,1000,ORDENADO,867900,0,8679,10663,17477
MergeSort,1000,ORDENADO,1107600,1,1076,5044,19952
HeapSort,1000,ORDENADO,417100,0,4171,17583,29124
BubbleSort,10000,ORDENADO,18106800,18,1068,49995000,0
InsertionSort,10000,ORDENADO,890700,0,8907,9999,19998
SelectionSort,10000,ORDENADO,13257200,13,2572,49995000,29997
QuickSort,10000,ORDENADO,1464000,1,4640,153752,273522
MergeSort,10000,ORDENADO,730000,0,7300,69008,267232
HeapSort,10000,ORDENADO,1675900,1,6759,244460,395868
BubbleSort,100000,ORDENADO,1350754600,1350,7546,4999950000,0
InsertionSort,100000,ORDENADO,5650800,5,6508,99999,199998
SelectionSort,100000,ORDENADO,1343701700,1343,7017,4999950000,299997
QuickSort,100000,ORDENADO,4146000,4,1460,1935807,3319748
MergeSort,100000,ORDENADO,8500500,8,5005,853904,3337856
HeapSort,100000,ORDENADO,10906200,10,9062,3112517,4952562
BubbleSort,10,INVERSO,129100,0,1291,45,135
InsertionSort,10,INVERSO,28700,0,0287,45,63
SelectionSort,10,INVERSO,33100,0,0331,45,27
QuickSort,10,INVERSO,2300,0,0023,27,94
MergeSort,10,INVERSO,53200,0,0532,15,68
HeapSort,10,INVERSO,23200,0,0232,35,63
BubbleSort,100,INVERSO,581900,0,5819,4950,14850
InsertionSort,100,INVERSO,26600,0,0266,4950,5148
SelectionSort,100,INVERSO,188200,0,1882,4950,297
QuickSort,100,INVERSO,5700,0,0057,576,1395
MergeSort,100,INVERSO,121200,0,1212,316,1344
HeapSort,100,INVERSO,5900,0,0059,944,1548
BubbleSort,1000,INVERSO,3386400,3,3864,499500,1498500
InsertionSort,1000,INVERSO,12680800,12,6808,499500,501498
SelectionSort,1000,INVERSO,2543900,2,5439,499500,2997
QuickSort,1000,INVERSO,37700,0,0377,10498,18718
MergeSort,1000,INVERSO,311500,0,3115,4932,19952
HeapSort,1000,INVERSO,56500,0,0565,15965,24948
BubbleSort,10000,INVERSO,70736200,70,7362,49995000,149985000
InsertionSort,10000,INVERSO,53195700,53,1957,49995000,50014998
SelectionSort,10000,INVERSO,102963000,102,9630,49995000,29997
QuickSort,10000,INVERSO,397100,0,3971,146406,267543
MergeSort,10000,INVERSO,542800,0,5428,64608,267232
HeapSort,10000,INVERSO,781300,0,7813,226682,350088
BubbleSort,100000,INVERSO,7219731600,7219,7316,4999950000,14999850000
InsertionSort,100000,INVERSO,3950486100,3950,4861,4999950000,5000149998
SelectionSort,100000,INVERSO,10229976000,10229,9760,4999950000,299997
QuickSort,100000,INVERSO,4593800,4,5938,1985337,3331222
MergeSort,100000,INVERSO,8745800,8,7458,815024,3337856
HeapSort,100000,INVERSO,6530000,6,5300,2926640,4492302
BubbleSort,10,ALEATORIO,1000,0,0010,45,81
InsertionSort,10,ALEATORIO,1100,0,0011,34,45
SelectionSort,10,ALEATORIO,1900,0,0019,45,27
QuickSort,10,ALEATORIO,4200,0,0042,22,78
MergeSort,10,ALEATORIO,3400,0,0034,22,68
HeapSort,10,ALEATORIO,3100,0,0031,38,75
BubbleSort,100,ALEATORIO,15000,0,0150,4950,7689
InsertionSort,100,ALEATORIO,3300,0,0033,2659,2761
SelectionSort,100,ALEATORIO,10300,0,0103,4950,297
QuickSort,100,ALEATORIO,5500,0,0055,745,1847
MergeSort,100,ALEATORIO,8500,0,0085,542,1344
HeapSort,100,ALEATORIO,5800,0,0058,1012,1719
BubbleSort,1000,ALEATORIO,694000,0,6940,499500,724800
InsertionSort,1000,ALEATORIO,188200,0,1882,242591,243598
SelectionSort,1000,ALEATORIO,1057700,1,0577,499500,2997
QuickSort,1000,ALEATORIO,64200,0,0642,12340,22139
MergeSort,1000,ALEATORIO,84500,0,0845,8690,19952
HeapSort,1000,ALEATORIO,71700,0,0717,16833,27270
BubbleSort,10000,ALEATORIO,89994700,89,9947,49995000,74767086
InsertionSort,10000,ALEATORIO,19012500,19,0125,24932349,24942360
SelectionSort,10000,ALEATORIO,103306700,103,3067,49995000,29997
QuickSort,10000,ALEATORIO,764200,0,7642,159550,301868
MergeSort,10000,ALEATORIO,1124300,1,1243,120418,267232
HeapSort,10000,ALEATORIO,866300,0,8663,235415,372618
BubbleSort,100000,ALEATORIO,13154452700,13154,4527,4999950000,7527233304
InsertionSort,100000,ALEATORIO,1979941600,1979,9416,2509177751,2509277766
SelectionSort,100000,ALEATORIO,10249581500,10249,5815,4999950000,299997
QuickSort,100000,ALEATORIO,8185500,8,1855,2084220,3795042
MergeSort,100000,ALEATORIO,14370200,14,3702,1536759,3337856
HeapSort,100000,ALEATORIO,9864100,9,8641,3020026,4725276
BubbleSort,10,QUASE_ORDENADO,1000,0,0010,45,33
InsertionSort,10,QUASE_ORDENADO,800,0,0008,20,29
SelectionSort,10,QUASE_ORDENADO,800,0,0008,45,27
QuickSort,10,QUASE_ORDENADO,1400,0,0014,29,94
MergeSort,10,QUASE_ORDENADO,2200,0,0022,25,68
HeapSort,10,QUASE_ORDENADO,1100,0,0011,39,81
BubbleSort,100,QUASE_ORDENADO,6900,0,0069,4950,2220
InsertionSort,100,QUASE_ORDENADO,1500,0,0015,837,938
SelectionSort,100,QUASE_ORDENADO,9500,0,0095,4950,297
QuickSort,100,QUASE_ORDENADO,5400,0,0054,707,1625
MergeSort,100,QUASE_ORDENADO,7100,0,0071,516,1344
HeapSort,100,QUASE_ORDENADO,6300,0,0063,1078,1878
BubbleSort,1000,QUASE_ORDENADO,350900,0,3509,499500,190248
InsertionSort,1000,QUASE_ORDENADO,55000,0,0550,64415,65414
SelectionSort,1000,QUASE_ORDENADO,988800,0,9888,499500,2997
QuickSort,1000,QUASE_ORDENADO,43000,0,0430,10974,20623
MergeSort,1000,QUASE_ORDENADO,52400,0,0524,7906,19952
HeapSort,1000,QUASE_ORDENADO,59900,0,0599,17386,28674
BubbleSort,10000,QUASE_ORDENADO,34561700,34,5617,49995000,16738548
InsertionSort,10000,QUASE_ORDENADO,4264700,4,2647,5589513,5599514
SelectionSort,10000,QUASE_ORDENADO,102750400,102,7504,49995000,29997
QuickSort,10000,QUASE_ORDENADO,517700,0,5177,164462,321584
MergeSort,10000,QUASE_ORDENADO,897200,0,8972,115306,267232
HeapSort,10000,QUASE_ORDENADO,738000,0,7380,242523,390498
BubbleSort,100000,QUASE_ORDENADO,4864679700,4864,6797,4999950000,1734135798
InsertionSort,100000,QUASE_ORDENADO,459079400,459,0794,578145265,578245264
SelectionSort,100000,QUASE_ORDENADO,10301307200,10301,3072,4999950000,299997
QuickSort,100000,QUASE_ORDENADO,6202500,6,2025,2019255,3644546
MergeSort,100000,QUASE_ORDENADO,7602700,7,6027,1485302,3337856
HeapSort,100000,QUASE_ORDENADO,8646400,8,6464,3095304,4907880
